time_stamp,bank_id,type,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1675911169.9864168,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911171.068759,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.465,3.466,3.466,3.411,3.401
1675911171.0836182,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.3
1675911172.164873,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.465,3.466,3.466,3.411,3.401
1675911172.179552,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.3
1675911173.2631528,0,V,3.436,3.461,3.455,3.431,3.456,3.45,3.476,3.475,3.462,3.457,3.467,3.456,3.465,3.465,3.466,3.411,3.401
1675911173.278077,0,T,25.0,24.6,25.3,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.5,24.5,25.2,26.4
1675911174.3609889,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911174.375859,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911175.457323,0,V,3.436,3.461,3.455,3.43,3.456,3.45,3.476,3.474,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911175.472182,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911176.554711,0,V,3.436,3.461,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.457,3.465,3.466,3.466,3.411,3.401
1675911176.569505,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.3,26.3
1675911177.6503198,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.465,3.465,3.466,3.411,3.401
1675911177.6647758,0,T,25.0,24.5,25.3,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.3
1675911178.7474308,0,V,3.436,3.46,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911178.761791,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.3,26.3
1675911179.84303,0,V,3.436,3.461,3.456,3.43,3.456,3.45,3.476,3.475,3.462,3.457,3.467,3.456,3.465,3.465,3.466,3.411,3.401
1675911179.857913,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.3,26.4
1675911180.939959,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911180.954732,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.3
1675911182.0371032,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911182.051511,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.3
1675911183.1351092,0,V,3.435,3.461,3.456,3.43,3.457,3.449,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.465,3.466,3.41,3.401
1675911183.149633,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.3
1675911184.2329578,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911184.2475252,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.3,26.4
1675911185.331171,0,V,3.436,3.46,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.466,3.466,3.411,3.401
1675911185.345655,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.4
1675911186.428243,0,V,3.436,3.46,3.455,3.43,3.456,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.464,3.465,3.466,3.411,3.401
1675911186.4428911,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.3
1675911187.52544,0,V,3.436,3.461,3.455,3.43,3.456,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.465,3.466,3.411,3.401
1675911187.540224,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.3,26.3
1675911188.624057,0,V,3.436,3.461,3.455,3.43,3.456,3.45,3.476,3.475,3.462,3.457,3.467,3.456,3.464,3.465,3.466,3.411,3.401
1675911188.638699,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.3,25.1,24.6,24.5,25.3,26.3
1675911189.72192,0,V,3.436,3.46,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.464,3.466,3.466,3.411,3.401
1675911189.736238,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.3
1675911190.8194182,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911190.834049,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.3
