time_stamp,bank_id,type,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1675907584.5175622,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.0,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907585.599522,0,V,3.44,3.464,3.459,3.435,3.46,3.454,3.478,3.477,3.465,3.461,3.47,3.46,3.468,3.469,3.469,3.416,3.413
1675907585.6172512,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.0,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907586.6972601,0,V,3.44,3.464,3.46,3.434,3.461,3.454,3.478,3.477,3.465,3.461,3.47,3.46,3.468,3.469,3.469,3.415,3.413
1675907586.7117639,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907587.795114,0,V,3.441,3.464,3.459,3.435,3.46,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907587.809209,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907588.893366,0,V,3.44,3.464,3.459,3.435,3.46,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907588.907816,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907589.990714,0,V,3.44,3.464,3.459,3.434,3.461,3.454,3.478,3.477,3.465,3.461,3.47,3.46,3.468,3.469,3.469,3.415,3.413
1675907590.0052679,0,T,24.2,23.8,24.7,23.5,24.2,23.7,23.7,24.5,24.0,24.0,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907591.088217,0,V,3.44,3.464,3.459,3.434,3.461,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907591.102423,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.1,24.0,23.7,24.3,23.8,23.6,23.9,24.0
1675907592.1850061,0,V,3.44,3.464,3.459,3.435,3.46,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907592.199886,0,T,24.2,23.8,24.7,23.5,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,23.9
1675907593.28185,0,V,3.44,3.464,3.46,3.435,3.461,3.454,3.478,3.477,3.466,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907593.296696,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,23.9
1675907594.378089,0,V,3.44,3.465,3.459,3.435,3.46,3.454,3.478,3.477,3.466,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907594.396283,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907595.475109,0,V,3.44,3.464,3.459,3.435,3.46,3.454,3.478,3.477,3.465,3.462,3.47,3.46,3.468,3.469,3.469,3.415,3.413
1675907595.4897869,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907596.5726779,0,V,3.44,3.464,3.459,3.434,3.46,3.454,3.478,3.477,3.466,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907596.5873861,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907597.670156,0,V,3.44,3.464,3.459,3.434,3.461,3.454,3.478,3.477,3.465,3.461,3.47,3.46,3.468,3.469,3.469,3.415,3.413
1675907597.687167,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907598.767804,0,V,3.44,3.464,3.459,3.435,3.461,3.454,3.478,3.477,3.466,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907598.786216,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907599.865123,0,V,3.44,3.464,3.459,3.435,3.461,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.47,3.415,3.413
1675907599.8796852,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.2,23.8,23.6,23.9,24.0
1675907600.963728,0,V,3.44,3.464,3.459,3.434,3.461,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907600.976668,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0
1675907602.059755,0,V,3.44,3.464,3.459,3.435,3.461,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907602.073958,0,T,24.2,23.8,24.7,23.6,24.2,23.8,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,23.9
1675907603.155832,0,V,3.44,3.464,3.459,3.434,3.46,3.454,3.478,3.477,3.465,3.461,3.471,3.46,3.468,3.469,3.469,3.416,3.413
1675907603.1704571,0,T,24.2,23.8,24.7,23.6,24.2,23.7,23.7,24.5,24.0,24.1,24.0,23.6,24.3,23.8,23.6,23.9,24.0


1675911117.311306,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.457,3.465,3.465,3.466,3.411,3.402
1675911117.317724,0,T,25.0,24.6,25.3,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911118.393286,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911118.408618,0,T,25.0,24.5,25.3,24.2,24.8,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.4
1675911119.491866,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.411,3.402
1675911119.5072079,0,T,25.0,24.5,25.4,24.1,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911120.589932,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.466,3.466,3.411,3.401
1675911120.604625,0,T,25.0,24.5,25.3,24.2,24.8,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911121.686804,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911121.702222,0,T,25.0,24.5,25.3,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.4
1675911122.7837062,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.465,3.466,3.411,3.401
1675911122.7992299,0,T,25.0,24.5,25.3,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.4
